Org ragione sociale;Studente classe;Org email;telefono;Org sede provincia;Org sede indirizzo;Progetto titolo;Progetto descrizione
FORNO BONOMI S.P.A.;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@fornobonomi.com;045/6509300;VR;CONTRADA VAZZI, 7 - ROVERE' VERONESE;CML03 TECNICO PER L’ASSISTENZA TECNICA A LINEE DI PRODUZIONE AUTOMATIZZATE\n\n\n\n\n\n;Gestisce il corretto funzionamento di linee di produzione automatizzate dal punto di vista dei tempi e della qualità produttiva, assicurando la manutenzione ordinaria e straordinaria\n\n\n\n\n\n
BEDIGITAL S.R.L.;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@bedigital.it;0458352440;VR;VIA GINO BELTRAMINI 15/A - VERONA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
FULCRO SRL UNIPERSONALE;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@fulcro.net;0458890026;VR;VIALE BRENNERO 27 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
ZAMPINI GIUSEPPE SNC DI ZAMPINI CLAUDIO E F.LLI;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;;0457151396;VR;VIA ROMA 121 - PESCANTINA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
VICENTINI SPA;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;sara.modena@vicentini.it;0452085111;VR;VIA GARDESANE 49 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n
DSV SPA;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;andrea.codini@it.dsv.com;0321382270;MI;VIA DANTE, 134 - PIOLTELLO; LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n\n;Gestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n\n
NETSYSCO SRL;5EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;amministrazione@netsysco.net;0456838352;VR;VIA G.CAMPOSTRINI 50 - SAN PIETRO IN CARIANO;;
DIRTY WHELLS SNC DI BENINI STEFANO E COATI FEDERICO;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@dirtywheels.it;0452227636;VR;VIA MAIELLA 6 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n\n
NOVA SYSTEMS SERVICES S.R.L.;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;bavesani@novasystems.it;0458788211;VR;VIALE DEL LAVORO, 39 - SAN MARTINO BUON ALBERGO;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
REDORO S.R.L. FRANTOI VENETI;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;amministrazione@redoro.it;045907622;VR;VIA MARCONI,30 - GREZZANA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
RTC SPA;3AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;luca.mingon@rtc-spa.it;0458738711;ZEVIO VR;VIA EDISON, 31 LOC.CAMPAGNOLA - VERONA;INF04 - Tecnico gestore di reti e di sistemi telematici\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, testano, valutano e ottimizzano le prestazioni dei sistemi di rete e di telecomunicazione.\n\n
FOR.MECH SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;;045 8802122;VR;VIA DOMENICO DA LUGO 2B - GREZZANA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
MOSCONI GOMME SERVICE SAS;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@mosconigomme.it;;VR;VIA LEONARDO DA VINCI 3 - GREZZANA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
DATEL DI SALADINO SALVATORE;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@datelsistemi.com;045504225;VR;VIA BRANDIMARTE 1 - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
HIKARI SRL;3FI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATICA;amministrazione@hikavi.eu;0458018058;VR;VIA MIRANDOLA 37A - PESCANTINA;;
DIELETTRIC S.R.L.;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@dielettric.it;0458550548;VR;VIA DELLE TRINCEE, 15/D - CA DI DAVID - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
CAD IT SPA;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;risorseumane@caditgroup.comroup.com;0458211111;VR;VIA TORRICELLI, 44/A - VERONA;TLC06 - Tecnici esperti in applicazioni software\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software installando, configurando, gestendo e mantenendo applicazioni software.\n\n\n
NETSYSCO SRL;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@netsysco.net;0456838352;VR;VIA G.CAMPOSTRINI 50 - SAN PIETRO IN CARIANO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
NETSYSCO SRL;3CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;amministrazione@netsysco.net;0456838352;VR;VIA G.CAMPOSTRINI 50 - SAN PIETRO IN CARIANO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
FARMACIA CENTRALE  DOTT. SIGNORINI SNC;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info @farmaciasignorini.it;;VR;PIAZZA ERBE 20 - VERONA;INF03 - Tecnico gestore di database\n\n\n\n;Le professioni comprese in questa unità analizzano, progettano, sviluppano e collaudano i sistemi di gestione di banche dati, garantendone e controllandone le prestazioni ottimali e la sicurezza. Definiscono e predispongono i sistemi di backup e le procedure per preservare la sicurezza e l'integrità dei dati.\n\n\n\n\n
AUTOFFICINA SGANZERLA MAURIZIO;3AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;mauriziosganz@gmail.com;0456954002;VR;VIA ISOLANA 664 - SALIZZOLE;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
EDULIFE S.P.A.;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;l.soato@edulife.it;0459696300;VR;LUNGADIGE GALTAROSSA - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
EDULIFE S.P.A.;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;l.soato@edulife.it;0459696300;VR;LUNGADIGE GALTAROSSA - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
OMV MACHINERY SRL;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@omvgroup.com;0458394444;VR;LUNGADIGE ATTIRAGLIO 67 - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
A VARITT SRL;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;;3485991723;FI;VIA DELLA PIOVOLA ,138 - EMPOLI;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
COOPERATIVA SOCIALE SI-FA;4BI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;sifa.coop@gmail.com;3296543586;VR;VIA F.CASAROTI 35 , - VERONA;Progetti di Alternanza Scuola-Lavoro classi Terze\n\n;Esperienze di tirocinio presso soggetti ospitanti esterni per le classi 3^\n\n
ASSOCIAZIONE VERONA FABLAB;3AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;TLC02 - Tecnico gestore di reti e di sistemi telematici\n\n;Le professioni classificate in questa unità assistono i progettisti e amministratori di sistemi installando, configurando, gestendo e manutenendo per gli aspetti software i sistemi telematici ed i relativi sistemi di sicurezza.\n\n
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;info@libreriajolly.it;;VR;VIA UMBRIA 22 - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
CENTRO UFFICIO S.N.C.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@centroufficio.it;0457135441;VR;VIA ALTICHIERO, 81 - ZEVIO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
CENTRO UFFICIO S.N.C.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@centroufficio.it;0457135441;VR;VIA ALTICHIERO, 81 - ZEVIO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
CENTRO UFFICIO S.N.C.;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@centroufficio.it;0457135441;VR;VIA ALTICHIERO, 81 - ZEVIO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n\n
FINCONS SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;michele.moretti@finconsgroup.com;0458799299;MI;CORSO MAGENTA, N. 56 - MILANO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n\n
FINCONS SPA;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;michele.moretti@finconsgroup.com;0458799299;MI;CORSO MAGENTA, N. 56 - MILANO;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
STI  SPA;3AL TRASPORTI E LOGISTICA ART. LOGISTICA;ufficiodelpersonale@stispa.it;0442537135;VR;VIA LABRIOLA, 22 - NOGARA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
DM CONSULTING SRL;4AI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;info@dmconsulting.it;04421866161;VR;VIA ENRICO FERMI 3 - LEGNAGO;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
6 COM SRL;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@6comsrl.it;045 8751430;VR;VIA MONTE PASTELLO 9 - SAN GIOVANNI LUPATOTO;ELE07 - ASSEMBLATORE DI SCHEDE ELETTRONICHE (PCB)\n\n\n;La figura ha il suo focus su assemblaggio e saldatura a stagno di circuiti e schede elettroniche, con possibilità di relativo collaudo.\n\n\n
LINPAC PACKAGING VERONA SRL;4BL TRASPORTI E LOGISTICA ART. LOGISTICA;marta.prati@linpac.com;0459216411;VR;VIA MONTE PASTELLO, 40 - SAN GIOVANNI LUPATOTO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
SIPRO S.R.L.;4CE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;ivo.tommasini@sipro.vr.it;045508822;VR;VIALE DELL'INDUSTRIA, 7 - VERONA;ELE01 - COLLAUDATORE DI SCHEDE ELETTRONICHE\n\n;La figura verifica che il funzionamento della scheda elettronica risponda ai requisiti di corretto funzionamento stabiliti in fase di progetto. A tal scopo utilizza apposita strumentazione elettronica di misurazione per effettuare test diagnostici.\n\n\n
BPS COMPUTER SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;stefania@bpscomputer.it;045549872;VR;PIAZZA UMBERTO I, 47 - SAN GIOVANNI LUPATOTO;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
TB DI BOMPIERI TIZIANO;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;bombieritiziano@libero.it;;VR;VIA TUBALDINI - GREZZANA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
EU WINGS SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;;VR;VIA OSTERIA GRANDE 59 - SOMMACAMPAGNA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ASSOCIAZIONE VERONA FABLAB;3AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;;
VIRTUAL LAND SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0458342964;VR;VIA ARSENALE 58 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
VIRTUAL LAND SRL;4EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;;0458342964;VR;VIA ARSENALE 58 - VERONA;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
CERPELLONI  S.R.L.;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@cerpelloni.com;045532612;VR;VIALE UNITA' ITALIA 274/C - VERONA;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
CAZZADOR IMPIANTI ELETTRICI;4AE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@cazzadorimpianti.it;;VR;VIALE DELLA TECNICA 36 - POVEGLIANO VERONESE;ELE02 - CABLATORE/MANUTENTORE DI IMPIANTI ELETTRICI.\n\n\n\n;La figura effettua il cablaggio e messa in opera dei quadri elettrici bordo macchina per l’automazione civile e industriale.  Inoltre installa sistemi e apparecchiature elettroniche.\n\n\n\n
AGRATI-FSP SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;info-fsp@agrati.com;0458515811;VR;VIA SOMMACAMPAGNA 49A - VERONA;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
DIRTY WHELLS SNC DI BENINI STEFANO E COATI FEDERICO;4BE ELETTRONICA ED ELETTROTECNICA ART. ELETTRONICA;info@dirtywheels.it;0452227636;VR;VIA MAIELLA 6 - VERONA;ELE03 - ADDETTO ALLA DIAGNOSI ELETTRONICA DELL’AUTOVEICOLO\n\n\n\n\n\n;La figura professionale è in grado di eseguire, su precise indicazioni, operazioni di manutenzione leggera dell’auto, con interventi di normale difficoltà su complessivi e loro parti è inoltre in grado di individuare, con l’uso di attrezzature specifiche, anomalie di funzionamento dell’autoveicolo.\n\n\n\n\n\n
TMB SRL;4AL TRASPORTI E LOGISTICA ART. LOGISTICA;tmb@tmbvac.it;0458774299;VR;VIA CA'NOVA ZAMPIERI ,5 - SAN GIOVANNI LUPATOTO;LOG01 Responsabile di magazzino e della distribuzione interna\n\n\n;\nGestiscono la movimentazione interna ai magazzini, ne valutano la qualità, provvedono alla eventuale formazione di UdC o imballaggi vari, gestiscono il picking e l’allocazione interna delle merci valutando tempi e costi\n\n
MIOINDIRIZZO SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;info@mioindirizzo.com;0459200030;VR;VIA ENRICO FERMI, 11/A - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
MYMB SRL;4DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;mymb.amministrazione@timegroup.it;045 6899700;LU;VIA DI CARRAIA  141 - CAPANNORI;INF01 - Tecnico programmatore\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n
CAD IT SPA;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;risorseumane@caditgroup.comroup.com;0458211111;VR;VIA TORRICELLI, 44/A - VERONA;INF02 - Sviluppatore di applicazioni per il web e multimediali\n;Le professioni comprese in questa unità si occupano dell'ideazione, della realizzazione, dell'integrazione e della verifica dei software impiegati in un sito o in un'applicazione web. Progettano dal punto di vista funzionale siti e applicazioni web, scelgono le tecnologie più adatte in termini di costi, efficienza e affidabilità programmano le funzionalità necessarie eseguono test e simulazioni per valutare l'accessibilità, l'usabilità, la robustezza e la sicurezza delle soluzioni realizzate.\n\n\n
ASSOCIAZIONE VERONA FABLAB;4CI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;FABLAB - ALTERNALAB - IOT\n\n\n\n;Un laboratorio di programmazione e prototipazione sull’ Internet of Things per apprendere la basi della programmazione di oggetti intelligenti e interconnessi. \n\n\n\n
DIGITALE FORGE VERONA SRL;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;AMMINISTRAZIONE@DIGITALFORGE.IT;045 117788;VR;VIA MONTE BALDO 4 - VILLAFRANCA DI VERONA;INF01 - Tecnico programmatore\n\n\n\n\n;Le professioni classificate in questa unità assistono i progettisti e analisti di software traducendo istruzioni e specifiche di controllo, di procedure o di soluzioni di problemi, in diagrammi logici di flusso per la programmazione in linguaggio informatico sviluppando e scrivendo programmi per memorizzare, ricercare ed elaborare informazioni e dati.\n\n\n\n\n
ASSOCIAZIONE VERONA FABLAB;3DI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;scuola@veronafablab.it;3440458663;VR;VIALE DEL LAVORO 2 - GREZZANA;INF06 - Addetto alla manutenzione hardware e software\n\n\n\n\n\n;Le professioni comprese in questa unità installano, riparano e testano apparecchiature informatiche installano, mantengono e sostituiscono parti di personal computer e delle loro componenti periferiche.\n\n
IMAGE SRL;3EI INFORMATICA E TELECOMUNICAZIONI ART. INFORMATI;weconcept@weconcept.it;;VR;CORSO CAVOUR 76 - ZEVIO;;
RIGO SRL;4AT INFORMATICA E TELECOMUNICAZIONI ART. TELECOMUN;;045 60804000;VR;V.LO CAVALLETTO, 24 - VERONA;TLC07 - Tecnici per le telecomunicazioni\n\n\n\n\n\n\n\n\n\n;Le professioni classificate in questa unità curano l'installazione, il montaggio, la messa in servizio e la manutenzione delle componenti fisiche di reti informatiche, telefoniche, di impianti radiotelevisivi e satellitari e altre reti di sistemi di informazione elettronica per la trasmissione di dati e immagini.\n\n\n
AUTORICAMBI RACING SRL;4AC TRASPORTI E LOGISTICA ART. COSTRUZIONE DEL MEZ;info@negrente.com;045 528345;VR;VIA C. FINCATO 264 - VERONA;CML01 TECNICO MANUTENZIONE E RIPARAZIONE DI MEZZI DI TRASPORTO E DI MACCHINE INDUSTRIALI\n\n\n\n\n;Opera nell’ambito della riparazione e manutenzione conto terzi di mezzi di trasporto, macchine e attrezzature di produzione, sia in officina che presso i siti produttivi dei clienti\n\n\n\n\n\n
