Ragione_sociale;tipo;comune;provincia;nazione;indirizzo;cap;telefono;mail;sito;ndip;data_conv;indirizzo_studio;cod_ateco
ARDUINI E NERBOLDI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458515450;;;57;20/05/2019;indirizzo_studio;452010
PIESSE QUADRO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456901890;segreteria@piessequadro.com;www.piessequadro.com;;;indirizzo_studio;
PIESSE QUADRO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456901890;segreteria@piessequadro.com;www.piessequadro.com;;;indirizzo_studio;
PIESSE QUADRO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456901890;segreteria@piessequadro.com;www.piessequadro.com;;;indirizzo_studio;
CORRADO BENEDETTI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;comunicazione@corradobenedetti.it;www.corradobenedetti.it;2;20/05/2019;indirizzo_studio;47291
SIPRO S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045508822;ivo.tommasini@sipro.vr.it;http://www.sipro.vr.it/web/index.html;36;;indirizzo_studio;332003
TRACONF SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456083111;info@trancof.it;www.traconf.it;166;09/04/2018;indirizzo_studio;522922
AMT AZIENDA MOBILITA' E TRASPORTI S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;0452320025;info@amt.it;www.amt.it;53;27/05/2019;indirizzo_studio;522125
TERMOSANITARIA PASINATO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 8550500;info@termopasi.com;www.pasinstogroup.it;58;07/05/2019;indirizzo_studio;432201
ZWOLF SAS DI LAGO KATIA & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0457117379;info@zwolf.it;www.zwolf.it;2;24/05/2019;indirizzo_studio;47991
EB NEURO S.P.A.;AZIENDA;comune;FI;nazione;indirizzo;cap;0456028111;info@ehneuro.com;www.ehneuro.com;58;20/05/2019;indirizzo_studio;23701
UTECO CONVERTING S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;045 6174555;personale@uteco.com;http://www.uteco.com/ita/;293;10/05/2018;indirizzo_studio;
BERNER SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458670111;info@berner.it;www.berner.it;360;01/06/2019;indirizzo_studio;46741
COMUNE DI VERONA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;0458077400;tirocini.lavoro@comune.verona.it;;2009;;indirizzo_studio;841110
CANEVAWORLD RESORT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456969900;germana.amicabile@canevaworld.it;www.canevaworld.it;;;indirizzo_studio;
VM RACING;AZIENDA;comune;VR;nazione;indirizzo;cap;3483681295;info@vmracing.it;www.vmracing.it;;20/05/2019;indirizzo_studio;
GRUPPO VOLTA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045515265;amministrazione@gruppovolta.it;www.gruppovolta.it;6;16/05/2019;indirizzo_studio;6201
FERROVIE DELLO STATO ITALIANE;AZIENDA;comune;RM;nazione;indirizzo;cap;0458024675;PA.ZANELLA@TRENITALIA.IT;;;;indirizzo_studio;
VIP SOLAR;AZIENDA;comune;VR;nazione;indirizzo;cap;0454725445;valentino@vipsolar.it;www.vipsolar.it;;24/06/2019;indirizzo_studio;
AUTOTRASPORTI BOMMARTINI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456108311;bommartini@bommartini.it;www.bommartini.it;135;01/06/2019;indirizzo_studio;4941
TOR MEC AMBROSI S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456050205;tormec@legalmail.it;www.tormec.com;44;15/05/2019;indirizzo_studio;2562
OPEN-CO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457860276;info@openco.it;www.openco.it;20;15/05/2019;indirizzo_studio;620909
NEOTECNICA S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456862581;;http://www.neotecnica.eu/;;20/05/2019;indirizzo_studio;6201
VILLAFRUT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456998150;info@villafrut.it;www.villafrut.it;67;15/05/2019;indirizzo_studio;
LIBRERIA JOLLY DEL LIBRO DI DE SIGNORI CLAUDIO;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@libreriajolly.it;www.libreriajolly.it;2;03/06/2019;indirizzo_studio;476100
UNDERSCORE SOAVE COMPUTER DI DEMIS NAPOLI;AZIENDA;comune;VR;nazione;indirizzo;cap;0456190136;info@underscore.computer;http://www.underscore.computer/;1;13/05/2019;indirizzo_studio;9511
ELETTROMECCANICA BONFANTE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@elettromeccanicabonfante.it;;5;27/05/2019;indirizzo_studio;332001
ESOTERIC PRO AUDIO DI MAROGNA MIRKO;AZIENDA;comune;VR;nazione;indirizzo;cap;0458799319;info@estericproaudio.com;www.estericproaudio.com;;27/05/2019;indirizzo_studio;264001
VR FREDDO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458221104;veronafreddo@gmail.com;;;20/05/2019;indirizzo_studio;52011
NOVAMIND S.N.C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456630515;info@novimind.it;www.novamind.it;3;27/05/2019;indirizzo_studio;
MEQUADRO DI EMANUELE MAZZI;AZIENDA;comune;VR;nazione;indirizzo;cap;0458781546;;www.mequadro.it;4;29/04/2019;indirizzo_studio;900201
HANGARTNER TERMINAL S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458282411;nicola.zanini@dbschenker.com;www.logistics.dbsche;;27/12/2018;indirizzo_studio;52101
READY INFORMATION SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;marco@readyinformation.it;www.thesocialbreakers.com;;23/05/2019;indirizzo_studio;6312
MTA SPA;AZIENDA;comune;LO;nazione;indirizzo;cap;0522/1827202;www.mta.it;liuba.ettori@mta.it;694;29/04/2019;indirizzo_studio;293100
TECNICA ELETTRONICA S.P.A;AZIENDA;comune;VR;nazione;indirizzo;cap;045585166;luigi.spiazzi@tecnicaelettronica.it;;30;09/05/2019;indirizzo_studio;272
DIEMME DI MELDO DANIELE;AZIENDA;comune;VR;nazione;indirizzo;cap;3475359656;info@diemmeimpianti.com;www.diemmeimpianti.com;;13/05/2019;indirizzo_studio;432102
SMURFIT KAPPA SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;;marta.pizzini@smurfitkappa.it;www.smurfitkappa.it;;27/05/2019;indirizzo_studio;172100
PHARMATHEK SRL SOCIETA'UNIPERSONALE;AZIENDA;comune;VR;nazione;indirizzo;cap;045 950301;info@pharmathek.com;www.pharmathek.com;50;29/04/2019;indirizzo_studio;282209
E-TIME SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458780289;accounting@e-time.it;www.e-time.it;35;18/05/2019;indirizzo_studio;
DIGITALE FORGE VERONA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 117788;AMMINISTRAZIONE@DIGITALFORGE.IT;DIGITALFORGE.IT;3;02/05/2019;indirizzo_studio;4651
M B ACCUMULATORI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456703743;marco@mbaccumulatori.com;www.mbaccumulatori.com;11;20/04/2018;indirizzo_studio;469
GIEFFE DI GOBETTI FABRIZIO;AZIENDA;comune;VR;nazione;indirizzo;cap;3406620918;frimanut@alice.it;;1;20/05/2019;indirizzo_studio;432101
RIZZI TECNOLOGIE DI RIZZI FLAVIO;AZIENDA;comune;VR;nazione;indirizzo;cap;;flavio.rizzi@live.com;;;16/05/2019;indirizzo_studio;432101
LEM ELETTRONICA SRL;AZIENDA;comune;BS;nazione;indirizzo;cap;;info@lemelettronica.it;www.lemelettronica.it;18;29/04/2019;indirizzo_studio;264001
LEM ELETTRONICA SRL;AZIENDA;comune;BS;nazione;indirizzo;cap;;info@lemelettronica.it;www.lemelettronica.it;18;29/04/2019;indirizzo_studio;264001
LEOTRON SAS DI GIULIANI A. & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0454684107;m.maccini@leotron.it;www.leotron.com;11;22/05/2019;indirizzo_studio;620909
TERMINALI ITALIA S.R.L. FF.SS;AZIENDA;comune;VR;nazione;indirizzo;cap;0458624411;info@terminaliitalia.it;www.terminaliitalia.it;;29/04/2019;indirizzo_studio;
OROTIG SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456400865;info@orotig.com;www.orotig.com;56;06/05/2019;indirizzo_studio;282999
RBR VERONA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458403665;rbrverona@rbrverona.it;www.rbr.vr.it;7;;indirizzo_studio;263029
MG LAB SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456704064;info@mglabsrl.it;via dell'agricoltura;;27/05/2019;indirizzo_studio;620909
SUNSET MOTORCYCLES DI BUTTURINI ROBERTO;AZIENDA;comune;VR;nazione;indirizzo;cap;3462305825;SUNSETMOTORCYCLES@GMAIL.COM;;;07/05/2019;indirizzo_studio;
FRANCHI E TABARELLI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 6370898;info@franchietabarelli.it;www.franchietabarelli.it;10;02/05/2019;indirizzo_studio;494100
TURCO FEDERICO OFF.MECC RIPARAZIONI;AZIENDA;comune;VR;nazione;indirizzo;cap;045546478;;;1;07/06/2019;indirizzo_studio;452010
TELEPHONE HOUSE SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;0458781119;info@telephonehouse.it;;2;;indirizzo_studio;
MYWORLD ITALIA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 2080571;office.it@myworld.com;www.cashbackworld.com;65;29/04/2019;indirizzo_studio;772209
COMUNE DI VERONA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;0458077400;tirocini.lavoro@comune.verona.it;;2009;;indirizzo_studio;841110
HAXTEEL SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458781597;marco@haxteel.com;www.haxteel.eu;5;18/05/2019;indirizzo_studio;4651
NAUTICA MARE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457650168;sales@nauticamare.it;www.nauticamare.it;3;20/05/2019;indirizzo_studio;47642
DIGITAL IDEA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456703929;info@digitalidea.it;http://www.digitalidea.it/;;27/05/2019;indirizzo_studio;
ANT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045 878 1380;amministrazione@antsrl.eu;www.antsrl.eu;;;indirizzo_studio;
SIDERGAS SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456862044;;WWW.SIDERGAS.COM;70;;indirizzo_studio;2434
TX LOGISTIK AG;AZIENDA;comune;BZ;nazione;indirizzo;cap;0458624614;s.avesani@txlogistik.eu;;51;30/05/2019;indirizzo_studio;
CM TRASPORTI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045682754;;;;07/05/2019;indirizzo_studio;375432
IEM S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045563003;info@iemimpiantielettrici.com;www.imimpianti elettrici.com;;23/05/2019;indirizzo_studio;
IL TRUCIOLO SRL;AZIENDA;comune;CO;nazione;indirizzo;cap;031 3353131;;;44;29/04/2019;indirizzo_studio;38323
VICENTINI SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0452085111;sara.modena@vicentini.it;http://www.vicentini.it/ita/;;20/05/2019;indirizzo_studio;
RIGHETTI RIDOLFI SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0456080950;;www.righettiridolfi.com;26;27/05/2019;indirizzo_studio;25999
M&M COMPUTER CONSULTING SAS;AZIENDA;comune;VR;nazione;indirizzo;cap;045505722;commerciale@computer.veneto.it;;1;10/06/2109;indirizzo_studio;262
COSTRUZIONE METALLICHE BERTAGNOLI RENATO;AZIENDA;comune;VR;nazione;indirizzo;cap;0458668066;michele@bertagnolirenato.it;;13;18/05/2019;indirizzo_studio;2511
AUTOFFICINA DE TOGNI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045545922;amministrazione@detogniauto.it;www.detogniauto.it;14;13/03/2019;indirizzo_studio;45201
AUTOFFICINA DE TOGNI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045545922;amministrazione@detogniauto.it;www.detogniauto.it;14;13/03/2019;indirizzo_studio;45201
MARTINI CARLO SNC DI MARTINI VALENTINO E FAGIANI STEFANO & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;;amministrazione@martiniascensori.it ;www.martiniascensori.it;11;20/05/2019;indirizzo_studio;432901
QUADRANTE SERVIZI S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045952447;elena@quadranteservizi.it;;;;indirizzo_studio;
BCUBE;AZIENDA;comune;VR;nazione;indirizzo;cap;3371511576;marco.nicoletti@bcube.com;www.bcube.net;;26/06/2019;indirizzo_studio;2222
SITEM S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458600997;sistem@sistemautomazione.com;www.sitemautomazione.com;;18/05/2019;indirizzo_studio;6201
UCICAR S.N.C. DI RINCO A. & C.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456350091;contabilita@ucicar.it;www.ucicar.com;4;27/05/2019;indirizzo_studio;45201
GEWIN SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458904253;info@gewin-informatica.com;www.gewin-informatica.com;13;22/01/2018;indirizzo_studio;6201
ELECTRO ENERGY SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456698119;electroenergy@libero.it;;3;23/05/2019;indirizzo_studio;2733
OFFICE AUTOMATION S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458002529;francesca.grego@officeautomation.it;www.officeautomation.it;27;;indirizzo_studio;4651
INFOGEST SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@infogestsrl.it;www.infogestsrl.it;15;11/06/2019;indirizzo_studio;620100
STT SERVICE TELEMATICI TELEFONICI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458124000;info@aovr.veneto.it;www.ospedaleuniverona.it;91;20/05/2019;indirizzo_studio;432909
INSIEME COOPERATIVA SOCIALE;COOPERATIVA;comune;VR;nazione;indirizzo;cap;0458650538;segreteria@coopinsieme.it;www.coopinsiem.it;40;20/05/2019;indirizzo_studio;
SYATEC SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457952342;info@syatec.it;www.syatec.it;7;13/05/2019;indirizzo_studio;2712
LEONI IMPIANTI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045515011;info@leonimpianti.it;;12;15/05/2019;indirizzo_studio;432101
S C SISTEMI DI CASSA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@scsistemi.net;www.scsistemi.net;14;15/06/2019;indirizzo_studio;4666
FROMM PACKAGING AUTOMATION SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;leardinie@fromm-pack.com;WWW.FROMM-AUTOMATION.COM;43;14/06/2019;indirizzo_studio;28293
SCATTOLINI SPA;AZIENDA;comune;PV;nazione;indirizzo;cap;0456334972;mrighetti@scattolini.com;www.scattolini.it;206;16/05/2019;indirizzo_studio;292000
FULCRO SRL UNIPERSONALE;AZIENDA;comune;VR;nazione;indirizzo;cap;0458890026;info@fulcro.net;www.fulcro.net;1;23/05/2019;indirizzo_studio;
METALPOINT SRLS;AZIENDA;comune;VR;nazione;indirizzo;cap;0456584286;metalpointsrls@gmail.com;;12;09/07/2018;indirizzo_studio;251210
16 TELEFONIA SAS;AZIENDA;comune;VR;nazione;indirizzo;cap;0456930482;16telefonia@gmail.com;;1;;indirizzo_studio;
VALUE TRANSFORMATION SERVICE;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;;20/05/2019;indirizzo_studio;
VALDOTECH S.A.S.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456800068;domenico.zantedeschi@gmail.com;www.valdotech.com;3;20/05/2019;indirizzo_studio;
ASSOCIAZIONE NAZIONALE MUTILATI ED INVALIDI CIVILI DI VERONA;AZIENDA;comune;VR;nazione;indirizzo;cap;045 8013437;;www.anmicverona.org;2;23/05/2019;indirizzo_studio;
TERMINALI ITALIA S.R.L. FF.SS;AZIENDA;comune;VR;nazione;indirizzo;cap;0458624411;info@terminaliitalia.it;www.terminaliitalia.it;;29/04/2019;indirizzo_studio;
DE NALE ANGELO - AUTOFFICINA;AZIENDA;comune;VR;nazione;indirizzo;cap;045 7300602;autodenale@hotmail.it;;;27/05/2019;indirizzo_studio;45201
BISSOLI F.LLI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0457130122;info@bissolicarrozzeria.it;www.bissolicarrozzeria.it;10;;indirizzo_studio;45202
ALCOFER S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045500051;sara@alcofer.it;tuttoferramenta.it;;22/05/2019;indirizzo_studio;
PROVINCIA DI VERONA;ENTE PUBBLICO;comune;VR;nazione;indirizzo;cap;0459288386;;;;27/05/2019;indirizzo_studio;
ISTITUTO COMPRENSIVO BOSCO CHIESANUOVA;SCUOLA;comune;VR;nazione;indirizzo;cap;045/6780521;segreteria@istitutobosco.it;www.istitutobosco.gov.it;;;indirizzo_studio;
OFFICINA MECCANICA ELETTRAUTO F.LLI CHESINI C. E  V. SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;;officinachesini@libero.it;;5;27/05/2019;indirizzo_studio;45201
ZANONI ARCHITETTO PAOLO STUDIO ARCHITETTURA;LIBERO PROFESSIONISTA;comune;VR;nazione;indirizzo;cap;0456703979;studio@paolozanoni.it;;;27/05/2019;indirizzo_studio;
ATTUA S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045/8271211;info@attua.it;www.attua.it;4;09/05/2019;indirizzo_studio;6201
OFFICINA GELIO GIORGIO SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;;;;20/05/2019;indirizzo_studio;
FORNACE S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456800977;info@fornacestudio.com;www.fornacestudio.com;5;16/05/2019;indirizzo_studio;741021
FAIRMAT SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458012030;amministrazione@fairmat.com;www.fairmat.it ;17;06/05/2019;indirizzo_studio;702
JUST ITALIA SPA;AZIENDA;comune;VR;nazione;indirizzo;cap;0458658111;just@just.it;www.just.it;97;;indirizzo_studio;
M.C.E. MECCANICA SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@mce-meccanica.com;www.mce-meccanica.com;;20/05/2019;indirizzo_studio;
PHONELAB;AZIENDA;comune;VR;nazione;indirizzo;cap;0456084062;;;4;18/05/2019;indirizzo_studio;4741
CREACTIVES S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456261357;serena.bevilacqua@creactives.com;;37;20/05/2019;indirizzo_studio;62010
HOME INNOVATION SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0454858682;info@homeinnovation;;7;23/05/2019;indirizzo_studio;4651
VI.BE.MAC. S.P.A.;AZIENDA;comune;VR;nazione;indirizzo;cap;0458778151;accounting@vbm-grp.com;;;23/05/2019;indirizzo_studio;
TOR MEC AMBROSI S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;0456050205;tormec@legalmail.it;www.tormec.com;44;15/05/2019;indirizzo_studio;2562
FABBRIS MOTO SNC;AZIENDA;comune;VR;nazione;indirizzo;cap;0458902408 ;amministrazione@fabbrismoto.com;www.fabbrismoto.com;2;09/07/2019;indirizzo_studio;454030
TECNOLOGIE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;3497782095;info@computerverona.it;www.computerverona.it;1;20/05/2019;indirizzo_studio;9511
QUADRANTE SERVIZI S.R.L.;AZIENDA;comune;VR;nazione;indirizzo;cap;045952447;elena@quadranteservizi.it;;;;indirizzo_studio;
PAYANINI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0456888404;info@payanini.com;www.payanini.com;43;20/05/2019;indirizzo_studio;23701
GIZERO ENERGIE SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0454851723;amministrazione@gizeroenergie.it;www.gizeroenergie.it;4;04/07/2019;indirizzo_studio;749093
TECNO P.A. SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458799196;info@tecno-pa.it;www.tecno-pa.it;5;;indirizzo_studio;432101
SMART SOLUTIONS SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0459582377;ammimistrazione@smartsolution.srl;www.riphone.it;4;23/05/2019;indirizzo_studio;4742
PULIMAC SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;045545026;pulimac@pulimac.it;;15;29/04/2019;indirizzo_studio;466999
FUTURA SISTEMI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;;info@futurasistemi.it;www.futurasistemi.it;7;10/06/2019;indirizzo_studio;
INFOMAT SERVIZI SRL;AZIENDA;comune;VR;nazione;indirizzo;cap;0458751526;gianpaolo.scalzotto@infomat.it;www.infomat.it;30;27/05/2019;indirizzo_studio;4651
